category,image_id,image_path,ecg_id,layout,status,elapsed_seconds,error,layout_name,nonzero_leads_count,einthoven_score,median_correlation,mean_correlation,minimum_correlation,median_normalized_rmse,median_rmse_mv,median_snr_db,median_gain_ratio
photos_bents,4,photos_bents/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,7.637798041003407,,3x4+1R,12,0.023459108696061774,0.8047097198179995,0.7162288042358188,0.1964823674615122,0.6244886587494238,0.08414544851254993,3.6522080145211335,0.9486512489417391
photos_crumbles,4,photos_crumbles/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,16.81863420800073,,3x4+1R,12,0.4005036779010239,0.01462104680615954,0.030289166460335127,-0.29888815611089053,1.4038368211908332,0.20199195201507358,-2.6938941615143994,0.9011844651625744
photos_doogee,4,photos_doogee/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,8.009067209000932,,3x4+1R,12,0.6053437639434084,0.9572001571039955,0.9310642743724858,0.6709571750964445,0.29256435285842575,0.051518046975866705,9.100131545526352,0.9366280897186263
photos_iphone,4,photos_iphone/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,15.68160108399752,,3x4+1R,12,0.04047519699887533,0.9714595323390098,0.9544490098396688,0.8421931365850239,0.23814861660193296,0.04479569168664477,10.354987246299638,0.9273567973549044
photos_samsung,4,photos_samsung/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,6.40112904200214,,3x4+1R,12,0.6144173856305434,0.9554742233792592,0.9487053605562944,0.9002214583357654,0.29515638196706073,0.05156679765280695,8.722549881979589,0.9232367407696712
photos_scans,4,photos_scans/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,14.033959916996537,,3x4+1R,12,0.9513528997415389,0.9832111895681739,0.9781369370786567,0.9210222209573916,0.1826404612243727,0.03546482903081633,11.46029076835478,0.9279502263287762
photos_screens,4,photos_screens/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,13.455696792007075,,3x4+1R,12,0.5148530434876231,0.85939609640971,0.8527874326924972,0.6683579881570537,0.5302299647316759,0.08345646680610751,5.542125197855323,0.8723477501601322
photos_bents,10,photos_bents/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,12.583209959004307,,3x4+1R,12,-0.12977694898740544,0.3588835664727594,0.36172755819540825,0.0004074944708421986,1.1323110405576668,0.18580010281876205,-0.03814079701560075,0.7810528611774945
photos_crumbles,10,photos_crumbles/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,5.690805457998067,,3x4+1R,12,0.4553656530128862,0.7003794132519213,0.7222361013767348,0.48195578541396045,0.7740927888033993,0.1313809699299075,2.068373113033145,0.8590166838927769
photos_doogee,10,photos_doogee/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,5.513378458999796,,3x4+1R,11,0.02471048344649302,0.9425335236989076,0.6645349013675032,-0.05191117769032374,0.3372951707986994,0.09938461774842561,6.936436929871614,0.8893939236249117
