category,image_id,image_path,ecg_id,layout,status,elapsed_seconds,error,layout_name,nonzero_leads_count,einthoven_score,median_correlation,mean_correlation,minimum_correlation,median_normalized_rmse,median_rmse_mv,median_snr_db,median_gain_ratio
photos_bents,4,photos_bents/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,8.013197582999055,,3x4+1R,12,0.023459108696061774,0.8047097198179995,0.7162288042358188,0.1964823674615122,0.6244886587494238,0.08414544851254993,3.6522080145211335,0.9486512489417391
photos_crumbles,4,photos_crumbles/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,7.9965167499995005,,3x4+1R,12,-0.18454662174772823,0.6354109671041416,0.6266134068496577,0.017742828535121644,0.843441542436501,0.10140054803054066,1.8865079069278567,0.9000978832123707
photos_doogee,4,photos_doogee/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,6.998229790999176,,3x4+1R,12,0.6053437639434084,0.9572001571039955,0.9310642743724858,0.6709571750964445,0.29256435285842575,0.051518046975866705,9.100131545526352,0.9366280897186263
photos_iphone,4,photos_iphone/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,14.367327124999065,,3x4+1R,12,0.04047519699887533,0.9714595323390098,0.9544490098396688,0.8421931365850239,0.23814861660193296,0.04479569168664477,10.354987246299638,0.9273567973549044
photos_samsung,4,photos_samsung/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,6.072496499999033,,3x4+1R,12,0.6144173856305434,0.9554742233792592,0.9487053605562944,0.9002214583357654,0.29515638196706073,0.05156679765280695,8.722549881979589,0.9232367407696712
photos_scans,4,photos_scans/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,13.547087999999349,,3x4+1R,12,0.9513528997415389,0.9832111895681739,0.9781369370786567,0.9210222209573916,0.1826404612243727,0.03546482903081633,11.46029076835478,0.9279502263287762
photos_screens,4,photos_screens/img_4_page_0.jpeg,LPAE_20999_hr,3x4+1R,success,13.533409207999284,,3x4+1R,12,0.5148530434876231,0.85939609640971,0.8527874326924972,0.6683579881570537,0.5302299647316759,0.08345646680610751,5.542125197855323,0.8723477501601322
photos_bents,10,photos_bents/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,12.738073209000504,,3x4+1R,12,-0.13289748050546327,0.3602206109216589,0.3657689706090053,0.006822705550388643,1.1310978424041802,0.18506195057994373,-0.02803715294411077,0.7778379865799319
photos_crumbles,10,photos_crumbles/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,5.376825792000091,,3x4+1R,12,0.4553656530128862,0.7003794132519213,0.7222361013767348,0.48195578541396045,0.7740927888033993,0.1313809699299075,2.068373113033145,0.8590166838927769
photos_doogee,10,photos_doogee/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,5.110126042000047,,3x4+1R,11,0.02546315853814421,0.9432048602307845,0.6669475955723861,-0.04860442435664732,0.33558402574453244,0.09927050441722357,7.005409136075713,0.8889068886502594
photos_iphone,10,photos_iphone/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,5.229077541998777,,3x4+1R,12,0.6348209045793547,0.8780250662870044,0.8663445107434026,0.653248586819006,0.4928995654889132,0.10477349044544226,4.849580283910494,0.8765341992066241
photos_samsung,10,photos_samsung/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,5.061030625000058,,3x4+1R,12,0.717139242872663,0.9410854783244847,0.9205125087923803,0.8006979349819696,0.34319841733885725,0.08322716060676369,6.699488748248886,0.8800601723033306
photos_scans,10,photos_scans/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,11.221526749999612,,3x4+1R,12,0.9765015348103409,0.9711376564525918,0.9648119927795227,0.9095511156345724,0.2402325497364482,0.07524819084210066,8.804143504003456,0.9096732014933537
photos_screens,10,photos_screens/img_10_page_0.jpeg,LPAE_04827_hr,3x4+1R,success,5.4617920000000595,,3x4+1R,12,0.6563604484506325,0.7975865564913382,0.7858580287612935,0.566476808922036,0.6350552883287381,0.10900770181971038,3.4690557954488606,0.8414936489149238
photos_bents,14,photos_bents/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,12.164448666999306,,3x4+1R,11,-0.256505516021909,0.16534947415538565,0.19527862076968008,-0.05187407819692235,1.2379206699836924,0.2602926876881274,-0.5058650090806447,0.7136165766355353
photos_crumbles,14,photos_crumbles/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,6.761153584000567,,3x4+1R,12,0.4953485620898698,0.31222273543551804,0.38092608176178305,0.029556732959948203,1.171968585211677,0.23391630210007353,-0.44561263832471604,0.8363336635037373
photos_doogee,14,photos_doogee/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,6.065182457999981,,3x4+1R,11,0.9032138107335085,0.8722713062350462,0.7513193995137456,0.0,0.5051291133184883,0.14504611928571204,5.704051305432325,0.863361265167554
photos_iphone,14,photos_iphone/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,6.2678250830012985,,3x4+1R,12,0.6640763117309677,0.1480076541623454,0.2318542949329868,-0.04947317615646866,1.305352143399233,0.2680949447191835,-1.3503541955846772,0.894085695436183
photos_samsung,14,photos_samsung/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,10.45051679199969,,3x4+1R,12,0.9458295045702934,0.7930657955717512,0.7714472352575705,0.3996123302065248,0.6429557637094034,0.11960940205633991,3.838987562432484,0.8850932790080355
photos_scans,14,photos_scans/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,6.767800874999011,,3x4+1R,12,0.9421608813017422,0.10131796208585736,0.09638980768788374,-0.037023633697393615,1.3406550213424473,0.3457930378819121,-2.4359781009524877,0.9492950445823147
photos_screens,14,photos_screens/img_14_page_0.jpeg,LPAE_17226_hr,3x4+1R,success,14.047488875001363,,3x4+1R,12,0.37763970957138465,0.743790015687882,0.7026437643622203,0.3336271599659181,0.7149364225414803,0.1647821210398064,3.0619696047630702,0.8718838505865179
photos_bents,40,photos_bents/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,18.498007124999276,,3x4+1R,12,0.46016038745634125,0.5364697039802602,0.5095638009084267,0.14578374516713297,0.9620226405554677,0.17936014467515254,0.44528504425506427,0.9476699494349066
photos_crumbles,40,photos_crumbles/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,10.044727583999702,,3x4+1R,12,0.21498144424292667,0.2601395483064306,0.26869215485098696,0.057378210092279655,1.215845998532765,0.23368545311868105,-1.7115126737667707,1.057845378253219
photos_doogee,40,photos_doogee/img_40_page_0.jpeg,LPAE_09275_hr,3x4+1R,success,5.760750583000117,,3x4+1R,12,0.9926616563928663,0.9747137244801427,0.9648619172128835,0.9147954346014984,0.2246724387429727,0.054784005318577876,9.619854338033623,0.9377224961535999
